phi,T,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.4,1281.4343843359818,1.44057205045252e-08,9.837419409260332e-11,4.3791358989889514e-08,0.12096586497897395,6.601740296300921e-06,0.0806416997822626,1.866052482813737e-08,1.3404080607002175e-09,2.2001281059934185e-38,9.375626467207118e-40,2.3606473942334136e-38,3.316635790290175e-40,5.8457858945734586e-36,4.381150086246872e-35,1.2161773711433787e-08,0.040322500727220496,5.396633575730573e-21,8.38153656322067e-23,1.2117383701206691e-32,6.112276673349784e-35,4.529542216859647e-33,9.084951705606112e-54,3.4717140247106727e-48,4.072889527358561e-57,1.849070331098179e-55,3.222295629360936e-64,1.644627025721252e-64,4.0125883153726794e-42,8.962721657349856e-41,4.716612004098676e-46,0.7580632423130863,0.0,3.514217905853655e-93,1.8126584198295359e-93,5.05340345403724e-50,4.553662108247246e-50
0.49230769230769234,1467.061644862419,3.7232042121060006e-07,7.168713703987086e-09,8.169453858310636e-07,0.10140022450960448,4.822021714521825e-05,0.09831470412556786,8.79345555708501e-08,5.388725721444172e-09,1.7854115798125285e-32,8.868103560808778e-34,9.43769151908193e-33,2.0495816036511947e-34,6.175427025281783e-31,1.590560382578178e-30,4.560006722642104e-07,0.049169163746787356,6.106085224533976e-18,7.629743278937285e-20,1.7204048986596575e-28,1.2123366113524983e-30,3.267529189164695e-29,9.47479996527804e-46,3.220869220523521e-41,4.1305815005738995e-49,4.796685747788442e-48,8.991666841271444e-56,2.0188833800219014e-56,3.691959683288178e-36,2.7939853839278654e-35,6.916054864374643e-40,0.7510659416424207,0.0,3.0927520593986786e-81,6.872609501520772e-82,1.7854533457479504e-43,8.056771148961496e-44
0.5846153846153846,1641.4960344518072,4.307041168371338e-06,1.7322097312639674e-07,6.7397918103452515e-06,0.0821626571955264,0.00020497580970494584,0.11559854785516747,2.606379799622144e-07,1.469131429923969e-08,4.252174066060732e-28,2.4333337694581425e-29,1.4154463099682855e-28,4.231664892609002e-30,3.612098275662057e-27,4.424230709748065e-27,6.843063631475222e-06,0.05784594414736251,1.153314321488863e-15,1.2719034537648677e-17,2.221364625181328e-25,2.0071895063806965e-27,2.654448427558926e-26,9.051122207835374e-40,5.38753075144249e-36,4.114086924326503e-43,1.820094482633132e-42,2.0124242530359605e-49,2.5639180098570678e-50,1.0503366516118233e-31,3.724314797400683e-31,2.883969405554397e-35,0.74416953654536,0.0,3.0152314112038613e-72,3.744702518900282e-73,1.4566581209809613e-38,4.1022459292616616e-39
0.676923076923077,1804.9511722457653,2.9701811708124383e-05,2.035139709902898e-06,3.204287505578705e-05,0.06323019380468818,0.0006053348467635955,0.1324082090013544,5.567063440775747e-07,3.047604671780019e-08,1.0264017909179932e-24,6.758198558939174e-26,2.558050375352661e-25,9.757541757813529e-27,3.3044121953311796e-24,2.394770978086298e-24,5.7062364129958414e-05,0.0663138899536078,6.852970539457695e-14,7.126081137800512e-16,6.120230310397123e-23,6.703941172322677e-25,5.325010516326837e-24,4.216727309064065e-35,6.89053235777635e-32,2.115060279995782e-38,4.6542850717134887e-38,2.057189183035214e-44,1.7665391144733465e-45,3.1918711653531875e-28,6.592930769710375e-28,1.2211503577879715e-31,0.7373209430205222,0.0,3.800834496394812e-65,3.1455733822516907e-66,1.05960588216213e-34,2.1628030389655722e-35
0.7692307692307693,1956.2146465185385,0.00014463733536658978,1.4422893348327407e-05,0.0001002303364197542,0.04467304316546233,0.0013601794033912006,0.1485944475536866,9.063298702762248e-07,5.0619322282434224e-08,5.0578700065744835e-22,3.871733516083769e-23,1.0921378548884111e-22,5.034371403457942e-24,8.69294913039215e-22,4.400722023069562e-22,0.0003198338047461474,0.07439361110482252,1.842462062834946e-12,1.913603546267549e-14,5.905701059489373e-21,7.532111612291646e-23,4.1971318235117936e-22,2.516827802772687e-31,1.5733180765535137e-28,1.4824279092171423e-34,1.983360703633053e-34,2.6830709927666315e-40,1.7740186060974073e-41,2.1237482206830033e-25,3.015721700422232e-25,1.102365762455954e-28,0.7303986374517023,0.0,2.65327216167769e-59,1.6762281833604994e-60,1.5152077455650917e-31,2.519817208602117e-32
0.8615384615384616,2091.1584862347695,0.0005573564203169146,6.967542461767856e-05,0.00021417421805394946,0.026896496838125037,0.002399744870319914,0.16389740868254982,1.1079119882074874e-06,6.710084453669969e-08,7.62460312883857e-20,6.995962609652996e-21,1.6764744871779272e-20,8.942044123264958e-22,9.82836502809135e-20,4.049999951525944e-20,0.0013590441626516279,0.08148600397016635,2.7968357668037596e-11,3.103425300499902e-13,2.7376978127654934e-19,3.934052275586737e-21,1.7800409168322462e-20,3.524127110962024e-28,1.1228505416491153e-25,2.676747994060932e-31,2.6111259220764923e-31,8.925688474378135e-37,5.16199941753308e-38,4.8623482283484654e-23,5.534145043338977e-23,3.421027609894584e-26,0.7231189203720872,0.0,2.75564146768433e-54,1.5129428470394384e-55,7.142032059276409e-29,1.0852019569071984e-29
0.9538461538461539,2198.205291974473,0.0018902041301075729,0.00024259508444082555,0.0002833673399358675,0.011250420707080253,0.0031692337176743063,0.17772854706061328,8.742697278289119e-07,6.415759015278543e-08,4.339286768522028e-18,5.177154130357931e-19,1.2635006721170471e-18,7.471032724302068e-20,6.837019904755578e-18,2.7968263995756904e-18,0.004811102268892899,0.08585148096370157,2.783964682010292e-10,3.707372353237057e-12,7.854160326646229e-18,1.2294972376038305e-19,5.4926006406534e-19,1.8277501967407537e-25,4.1423099792143864e-23,2.1746890272248655e-28,1.944264941332294e-28,1.4633095676501853e-33,8.820627213289737e-35,5.427605724344039e-21,6.0533637790723695e-21,5.428650306853888e-24,0.7147721100181316,0.0,1.1105104179571393e-49,6.326894912520978e-51,1.7401951182488144e-26,2.8422966923536753e-27
1.0461538461538462,2238.6205822214242,0.006475409058225,0.0005622433227870002,0.00014416688458799467,0.0017572439417970868,0.0024040742221245817,0.18768169146553412,2.549293687948755e-07,2.9875025399169126e-08,8.011145288044089e-17,1.564827292038399e-17,5.734505739942046e-17,3.516371645423578e-18,4.502926346723105e-16,2.7439316299268705e-16,0.015366960272348315,0.08245324659324035,1.910983180552855e-09,4.051139435106735e-11,1.7445166574368748e-16,2.815454014802449e-18,1.868435659907889e-17,4.873674713902728e-23,1.4619256843214532e-20,1.5129613405658688e-25,1.9580292129384123e-25,2.905201520750603e-30,2.652632969904637e-31,3.879381297606223e-19,6.412541308271725e-19,6.558845105924281e-22,0.7031546774834655,0.0,6.746257100670469e-45,5.813072235193917e-46,3.6492862549118176e-24,9.1273839222726e-25
1.1384615384615384,2186.12926948721,0.017377800882877183,0.0006866795773733113,2.823359145077705e-05,0.00013034982328227182,0.0010229037654202557,0.18977247292392754,3.063320036380712e-08,7.131018577879095e-09,2.1915555523987907e-16,8.231395913988851e-17,6.493547740394478e-16,3.797129447450711e-17,1.1477906206215582e-14,1.5215814969721858e-14,0.033675121528453346,0.07032741808171913,5.6445325348780525e-09,2.38680074632808e-10,1.489863531142172e-15,2.310661010364775e-17,3.34771075230384e-16,1.8397997796702683e-21,1.4009010750123138e-18,2.1873985308269288e-23,6.393005106639989e-23,1.4310343399432923e-27,2.7810187647690784e-28,6.622394125742142e-18,2.3971075732544756e-17,2.0650147101167604e-20,0.686978976178035,0.0,6.297575004560512e-41,1.1572742022395287e-41,2.0469339357819323e-22,1.0742846777807767e-22
1.2307692307692308,2112.7686091229943,0.03187054601424029,0.0006022420520098101,5.759404002983814e-06,1.4400413122683165e-05,0.000429111089067279,0.18703510011877328,4.508192627474811e-09,1.8908513378410385e-09,1.9965899515442796e-16,1.287636335203657e-16,2.0605001570060404e-15,1.1230858713409237e-16,7.900167109894403e-14,2.1615143557982775e-13,0.050360442647152115,0.059350214025213475,8.565237015178096e-09,6.568142266718372e-10,4.6326122164914265e-15,6.777100013864428e-17,2.034255037445573e-15,1.0939448832522145e-20,2.158235315091759e-17,4.0395917699952085e-22,2.573296026216784e-21,6.905804752499991e-26,2.679478295567593e-26,2.772016011475613e-17,2.089450440334643e-16,1.396498740496137e-19,0.6703321686150183,0.0,2.0703561429288796e-38,7.618983803639075e-39,2.1221357216084608e-21,2.1773766612023827e-21
1.3230769230769233,2039.410635305414,0.04825858237532802,0.00046541718506012747,1.3085060045538027e-06,2.115763750332345e-06,0.00018764276362259348,0.18165490308142418,8.009177719297071e-10,5.614457501064453e-10,1.1965504614914976e-16,1.224815061287245e-16,3.717260370647946e-15,1.8790882719294402e-16,2.907536698406559e-13,1.540187635974946e-12,0.0640508566309047,0.0510691435514083,9.839836571040235e-09,1.2704754815396466e-09,9.082068573590916e-15,1.2487492054155966e-16,7.274759516971953e-15,2.884380567549136e-20,1.4041227333677492e-16,2.837234951027475e-21,3.706342755956233e-20,1.0742720459736745e-24,7.780955110364502e-25,6.2599134703244e-17,9.214520113616673e-16,4.694145168432111e-19,0.6543100176679689,0.0,1.3201933055833682e-36,9.099134795692306e-37,1.0022557094174295e-20,1.876885919654987e-20
1.4153846153846152,1968.1457930525212,0.06569619860840584,0.00033449341344231754,3.132129437422623e-07,3.606665594874595e-07,8.351486018967418e-05,0.17463012021100732,1.564386732908096e-10,1.7610933269856535e-10,5.726523103477544e-17,8.919259067195878e-17,4.956656522210414e-15,2.316370333170707e-16,7.667938314269802e-13,7.614730913043812e-12,0.07536310901528888,0.04490454422685135,9.78758762682884e-09,2.0459900945746745e-09,1.3940494924374072e-14,1.7978475020060984e-16,1.9652121960451557e-14,4.96688792344658e-20,5.829699858975594e-16,1.1989269392128554e-20,3.1146175988966955e-19,9.19508384491011e-24,1.2008527769804774e-23,1.0288700054821735e-16,2.8621648441289243e-15,1.0990839248101745e-18,0.6389873336107612,0.0,3.5524553203931283e-35,4.4301791181578543e-35,3.1431271120280304e-20,1.0366799309588541e-19
1.5076923076923077,1899.157889265079,0.08360334216788581,0.00022815080072574804,7.630659394563392e-08,6.645360938678582e-08,3.723883916212727e-05,0.16661393668811803,3.191336403862794e-11,5.649938403613757e-11,2.3534647488946064e-17,5.4498848717710686e-17,5.4557323439280354e-15,2.3498062742968307e-16,1.6489115373062957e-12,3.028695319110715e-11,0.08490444035953926,0.04027053836248766,8.900885207957446e-09,2.952150695382347e-09,1.8390594393819705e-14,2.220296763301875e-16,4.4860151492905236e-14,6.567285158870224e-20,1.849668516713624e-15,3.7227416144057046e-20,1.9002736028425005e-18,5.496035781410717e-23,1.2738414051990227e-22,1.3947966245921433e-16,7.23084341627913e-15,2.0708668221440588e-18,0.624342198048415,0.0,5.710183207298011e-34,1.2684472285293259e-33,7.708582177835401e-20,4.403571016612099e-19
1.6,1832.347016770528,0.10159661800042943,0.0001491133742855518,1.8509525633677255e-08,1.2695800649994757e-08,1.6464572155920017e-05,0.15803933510312385,6.592191115317176e-12,1.8180133539209516e-11,8.587981172490226e-18,2.921690425525218e-17,5.244129775539681e-15,2.0749162264241308e-16,3.095204220574818e-12,1.0497362652403887e-10,0.09312614432604824,0.0367332190402873,7.599893272221809e-09,3.964350682735668e-09,2.1880979551807176e-14,2.467832738394423e-16,9.18614501873698e-14,7.23501097493578e-20,4.926846257359161e-15,9.427997538584081e-20,9.454754760881295e-18,2.6035206158514907e-22,1.0664416880767768e-21,1.6607306193312378e-16,1.6008284537297683e-14,3.3809427567893258e-18,0.6103390626811177,0.0,6.596012587606411e-33,2.5995456928433064e-32,1.609468875238569e-19,1.584253172185674e-18
1.6923076923076925,1767.5764930147009,0.11943438808928168,9.384910312529857e-05,4.402453205589131e-09,2.4475683934303595e-09,7.165121732986832e-06,0.1491874077237265,1.3505094252607864e-12,5.790119960288571e-12,2.8299606618013316e-18,1.4079198705488932e-17,4.545640149837773e-15,1.6464549139220416e-16,5.280193816060899e-12,3.327357409975891e-10,0.10034505900689075,0.03399108528867188,6.1812942381931296e-09,5.0647364304449e-09,2.4142020428128036e-14,2.537816894897986e-16,1.7486095064865626e-13,6.955520810986069e-20,1.1640651284743638e-14,2.0700824600972608e-19,4.1114182535328374e-17,1.0538949211369413e-21,7.657500705354235e-21,1.799183843880946e-16,3.243423532567198e-14,4.990490365579694e-18,0.5969410272251139,0.0,6.113450920943025e-32,4.291293557631318e-31,3.0055829066800847e-19,5.111380604246236e-18
1.7846153846153845,1704.7192068723414,0.1369696285581957,5.702511188104543e-05,1.0149295641786665e-09,4.67031205618024e-10,3.0514967430533348e-06,0.14023865093147855,2.7025093625284506e-13,1.8073018024686985e-12,8.4944363808275965e-19,6.182992418682276e-18,3.623377665509425e-15,1.1968922504271856e-16,8.398804924920299e-12,9.954372503308484e-10,0.10678189303522878,0.031837259123409505,4.8292181485453705e-09,6.241013786567812e-09,2.5130000524419785e-14,2.455969260634419e-16,3.1657247951868296e-13,6.001646985712164e-20,2.5262397750881896e-14,4.0957639965671046e-19,1.6340314689245165e-16,3.8264379109228354e-21,4.978577509337665e-20,1.8119271743935496e-16,6.180789070123907e-14,6.8378638692031005e-18,0.584112478184524,0.0,4.881343825067352e-31,6.1620767377270616e-30,5.178260892147115e-19,1.5342095649075744e-17
1.876923076923077,1643.6634178899637,0.1541161033422561,3.3488505801958736e-05,2.2465373468503155e-10,8.690594691493339e-11,1.2656095622617882e-06,0.13130843667417422,5.219115575052241e-14,5.484793641701315e-13,2.3317622583910704e-19,2.4939768873266118e-18,2.689082746653662e-15,8.067930935230511e-17,1.2673134813659988e-11,2.8730769009698056e-09,0.1125921820364326,0.030128770023242355,3.6420634738178716e-09,7.485163451160068e-09,2.4955541598327583e-14,2.26122073207275e-16,5.536507982942799e-13,4.7318853943455075e-20,5.1555140408930317e-14,7.493495945379683e-19,6.120782220792613e-16,1.2880164832802066e-20,3.0431843605054647e-19,1.7195756416704025e-16,1.1283377517232071e-13,8.848875449699165e-18,0.5718197394826463,0.0,3.525520964245453e-30,8.118385072947473e-29,8.402622043850231e-19,4.3929879995279866e-17
1.9692307692307693,1584.3104972400427,0.17082605429818237,1.900940588453199e-05,4.735096467475009e-11,1.557914850761737e-11,5.089324796726108e-07,0.12247019632373216,9.627609168985775e-15,1.607152698579118e-13,5.859802867900613e-20,9.277762518012919e-19,1.87291482509351e-15,5.0814020626260905e-17,1.836187150719289e-11,8.130046336648223e-09,0.1178877707690106,0.02876522773099311,2.6591550079636584e-09,8.792422334489028e-09,2.3819341439831454e-14,1.9949934745070495e-16,9.458359253716212e-13,3.4490550490834713e-20,1.006030698306595e-13,1.2909401761422058e-18,2.2096740251211327e-15,4.116327559946276e-20,1.797814184783288e-18,1.551755175211524e-16,1.999109010202961e-13,1.0944746491132738e-17,0.5600312128753567,0.0,2.386004263142949e-29,1.0204939140277588e-27,1.302799652250697e-18,1.221898801269866e-16
2.0615384615384618,1526.571997718786,0.1870759338203984,1.0423793904922761e-05,9.43036373743021e-12,2.661816142009683e-12,1.9758037632810858e-07,0.11377028372232555,1.6806295358941692e-15,4.517715248764809e-14,1.3467906267829973e-20,3.1882317373366493e-19,1.23040250586687e-15,3.0044178405636974e-17,2.5772949519065416e-11,2.2838015561845603e-08,0.12275106787313345,0.027674689739700893,1.8825010955218994e-09,1.0160556126622044e-08,2.1961986179186468e-14,1.6946845738920335e-16,1.5915736858800703e-12,2.3421597099571043e-20,1.9005238893443397e-13,2.122008616683693e-18,7.820587459016439e-15,1.2715998289724965e-19,1.0486434269787641e-17,1.3395911830906745e-16,3.4708544035799013e-13,1.3048060462539737e-17,0.5487173685490151,0.0,1.554349562181744e-28,1.2615469906709779e-26,1.950382939733543e-18,3.347306282400147e-16
